"Variables","1998 2Q","1998 3Q","1998 4Q","1999 1Q","1999 2Q","1999 3Q","1999 4Q","2000 1Q","2000 2Q","2000 3Q","2000 4Q","2001 1Q","2001 2Q","2001 3Q","2001 4Q","2002 1Q","2002 2Q","2002 3Q","2002 4Q","2003 1Q","2003 2Q","2003 3Q","2003 4Q","2004 1Q","2004 2Q","2004 3Q","2004 4Q","2005 1Q","2005 2Q","2005 3Q","2005 4Q","2006 1Q","2006 2Q","2006 3Q","2006 4Q","2007 1Q","2007 2Q","2007 3Q","2007 4Q","2008 1Q","2008 2Q","2008 3Q","2008 4Q","2009 1Q","2009 2Q","2009 3Q","2009 4Q","2010 1Q","2010 2Q","2010 3Q","2010 4Q","2011 1Q","2011 2Q","2011 3Q","2011 4Q","2012 1Q","2012 2Q","2012 3Q","2012 4Q","2013 1Q","2013 2Q","2013 3Q","2013 4Q","2014 1Q","2014 2Q","2014 3Q","2014 4Q","2015 1Q","2015 2Q","2015 3Q","2015 4Q","2016 1Q","2016 2Q","2016 3Q","2016 4Q","2017 1Q","2017 2Q","2017 3Q","2017 4Q","2018 1Q"
"Gross Domestic Product At Current Market Prices",35849.6,35866.2,35723.4,33922.3,36198.4,37460.5,38668.7,38179.9,39924.5,42863.4,44249.9,41206.6,39935.7,39229.4,39602.4,40269.8,41052.3,41191.1,42116.7,41823.5,39845.9,42305.1,45021.3,46244.9,46348.7,48859.6,51548.3,50312.4,51013.6,53566.3,57181.7,55475,56931.4,59358.1,63070.5,63175.9,66580.6,69656.2,71837.1,68248.9,67898,69547.8,66285.7,64212.6,67670.2,71976.9,75998.3,76758.8,80174.8,80680.3,84747.2,85559,85601,86977.4,88973.8,89896.8,91176.1,88888.8,93293.2,93019.2,94576.8,94929.9,98437.8,96742.9,97387,98204.5,102417.3,102702.7,103098.5,104513,107759.4,103833.8,104840.2,106243.5,113021.3,109677.4,108791.8,111198.3,117616,114689.6
"Goods Producing Industries",11511.7,11606.7,11441.4,10784.2,11137.6,11578.6,11746.6,11831.1,12643.4,14301.4,15013.8,12797.8,12157.4,11845.3,11884.4,12002.6,12849.2,12878.7,12806.1,12390.5,11998.3,12750.7,13739.3,13941.6,14809.9,15783.4,16567.2,15219.2,15744.3,16803.2,17907.4,16649.3,17829.3,18390.9,18590,17888.3,18500.4,19502,19279.8,17475.6,17608.1,18500.2,16964.7,15418.1,17819.2,20273.2,20709.1,20077.8,21543.7,21117.4,21491.4,21365,21301.7,21589,21729.2,22213.7,22968.4,22119.7,22322.5,20808.1,21870.2,22624,23031.3,22884.9,23672.8,24325.6,24084.8,24521.7,25614.5,25655.8,25715.8,24011.1,25514.8,25506.7,26620.5,25791.4,25499.5,25916.5,26736.8,26945.4
"Manufacturing",8054.8,8213.5,8134.1,7572.2,8234.7,8647.4,8935.7,9192.9,10066.7,11426.9,12040.2,9919.4,9330.7,8968.8,9168.6,9381.8,10458.1,10377.5,10330.3,10092.3,9744.6,10367,11300.3,11553.7,12562.9,13440.6,14174.8,12826.8,13531.8,14462,15457.7,14101.8,15426.3,15736.9,15813,14868.4,15761.7,16438.9,15891,14012.6,13793,14330.2,12296.7,10912.3,13166.4,15485.5,15474.4,15376.2,16748.5,16337.4,16577.7,16636.5,16391.8,16449.5,16423.3,16962.8,17534.5,16524.3,16658.8,15454,16316.3,16865.5,17114,16884.3,17609.6,18000.8,17625.8,18197.1,19059.1,18977.1,18918.4,17459.1,18823.5,19005.8,20375.7,19787.1,19607.1,20066.9,20917,21203.7
"Construction",2664.2,2695.8,2581.7,2455.6,2201.1,2222.1,2168.3,2016.6,1946.8,2097.5,2126.8,1984.5,1896.3,1977.4,1871,1795,1582.9,1634.8,1602.1,1493.8,1430.6,1548.1,1547.2,1499.2,1369.1,1463.5,1512.8,1556.6,1380.5,1490.6,1597.5,1608.8,1454.6,1667.5,1794.9,1923.6,1770,2078.4,2379.4,2472.3,2717.8,3226,3571.6,3608.9,3574.8,3765.5,4048.2,3566,3534.8,3520,3600.4,3501.8,3503.1,3802.2,4008.6,3972.4,4004.5,4182.1,4291.5,4125.4,4132.2,4365.8,4576.7,4713.5,4642.9,4887.2,4997.5,4850.8,5079.2,5207.5,5320.7,5187.1,5275.4,5033.3,4776.9,4628.6,4435.8,4379,4365.6,4296.7
"Utilities",753.4,660,685.6,718.1,661.1,668.4,599.6,582.5,592.9,738.2,809.5,859.1,896.8,867.1,813,795.4,778.5,837.4,845.4,777.6,797.9,810.1,865.5,863,853.8,848.4,852.3,805.9,804.7,821.2,822,908.4,921.2,960.2,950.8,1064.9,940.7,956.8,980.1,959.4,1069.7,916.9,1069.2,866.1,1051.7,995.5,1155.7,1109.7,1229.3,1230.5,1281.4,1195.1,1377.2,1309.6,1266.3,1247.7,1399.1,1384.3,1341.8,1196.3,1391.2,1358.7,1308.1,1254.6,1386.3,1399.8,1427.7,1439.3,1442.9,1438.8,1446.9,1331,1382.2,1437.7,1437.3,1345.9,1427.1,1440.5,1425.2,1414.9
"Other Goods Industries",39.3,37.4,40,38.3,40.7,40.7,43,39.1,37,38.8,37.3,34.8,33.6,32,31.8,30.4,29.7,29,28.3,26.8,25.2,25.5,26.3,25.7,24.1,30.9,27.3,29.9,27.3,29.4,30.2,30.3,27.2,26.3,31.3,31.4,28,27.9,29.3,31.3,27.6,27.1,27.2,30.8,26.3,26.7,30.8,25.9,31.1,29.5,31.9,31.6,29.6,27.7,31,30.8,30.3,29,30.4,32.4,30.5,34,32.5,32.5,34,37.8,33.8,34.5,33.3,32.4,29.8,33.9,33.7,29.9,30.6,29.8,29.5,30.1,29,30.1
"Services Producing Industries",20824.3,20823.5,21152.7,20025.1,21422.4,21947.5,23155.7,22314.6,22906.9,24210.7,24999.8,24348.9,23763.4,23592.3,24000.5,24619,24485.1,24924.7,25728.8,25683.7,23943.3,25865.8,27515.6,28239.6,27966.4,29298.9,30936.7,30977.4,31459.3,32989.4,35159.8,34572.8,34943.5,36929.3,40046.3,40132.9,42392.9,43784.3,46306.1,44845.6,44128.5,44634.2,43425.3,43402.5,43914.8,45355.6,48672.2,50055.4,51189.8,51980.3,55457.9,56199,55728.1,56880.2,58555.5,59335.4,58966.2,57858.3,61326.5,62918.7,62769.7,62812.9,65649.1,64764.4,63913.1,64162,68333.3,68231.2,66967.8,68353,71581.2,69228,68528.7,69801.8,75542,72851.7,72283.9,74291.3,79316,76980
"Wholesale & Retail Trade",4006.6,3947.2,4099.1,4070.9,4567.1,4675.8,5098.3,4692.7,5043.4,5430.2,5508.5,5073.3,5040,4944.2,5122,5054.1,5484.2,5777.8,5874.1,5543.9,5464.7,5694.8,6130.5,6167.8,6672.1,7200.1,7681.7,7675.8,8346.2,9100.5,9604.7,9274.8,10066.5,11040,11784,11219.2,12357.4,12797.7,13041.4,11242.5,11574.7,11852.6,10695.7,10994.6,12433.1,13108.6,13896,13650,14536.2,14660.4,15602.6,15953.1,16992.7,17068.2,17438.2,16510.1,17217.1,16249.5,16966.5,16865,17068.5,17041.8,17338.5,15762.9,16082.5,15560,16211.4,14952.8,15802.4,16344.9,17154.4,14356.1,16192.6,17498.6,20031.6,16563.1,17721.4,18880.7,20625.9,17091.3
"Transportation & Storage",3212.8,3246.3,3303.1,3248.6,3411.2,3590.1,3747.5,3643,3728.5,4014.6,4058.7,3554.7,3440.5,3473.7,3645.3,3520.8,3517.7,3431,3557.1,3974.6,3273.8,4087.8,4616.6,4598.6,4634.4,4793.2,5115.1,5069.4,5037.6,5139.5,5489.6,5184,4887,5126.4,5683.4,5847.6,5988.5,6284.1,6687.1,6636.7,6366.6,6049.4,6280.8,5483.4,5075.7,5051,5919.8,6271.9,6340.7,6375.6,6434.6,5634.4,5489.2,5364.3,5735.9,5714.2,5950.6,5821.4,6188.1,5744.4,6157.5,6124.4,6678.3,6337.1,6535.2,6758,7553.1,7538.1,7460.7,7386.5,7654.9,6988.3,6878.1,6566.8,7266.1,7268.6,7619.8,7466,7920.9,7527.8
"Accommodation & Food Services",856.8,843.5,890.8,864.9,895.8,883.4,947.8,932.8,927.7,947,994.6,976.7,963.8,951,942.7,920.2,914.8,909.4,947.9,916.7,711.3,874.5,973.2,963.3,947,957.5,994.3,956.9,990.7,999.3,1056.4,1029.2,1046.6,1098.2,1140.4,1165.1,1192.8,1239.3,1284,1345.7,1336.9,1348.1,1311.5,1205,1164.9,1242.3,1308.1,1346.3,1422.9,1536.1,1615.9,1652.4,1717.9,1791.2,1822.7,1857.1,1856.6,1878.9,1889.8,1991.2,1936.7,1922,1947.2,2017.7,2023,2077.4,2107,2085.8,2012.2,2112.7,2129.8,2180.7,2119.6,2233.1,2185.4,2185.9,2149,2259.1,2261.4,2238.3
