 Variables , 1975 1Q , 1975 2Q , 1975 3Q , 1975 4Q , 1976 1Q , 1976 2Q , 1976 3Q , 1976 4Q , 1977 1Q , 1977 2Q , 1977 3Q , 1977 4Q , 1978 1Q , 1978 2Q , 1978 3Q , 1978 4Q , 1979 1Q , 1979 2Q , 1979 3Q , 1979 4Q , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q 
 Gross Domestic Product At Current Market Prices ,"3,209.20","3,306.90","3,519.10","3,692.80","3,544.80","3,619.90","3,846.20","3,991","3,872.80","3,962.40","4,171.80","4,343.60","4,283.50","4,376.20","4,694.90","4,979.50","4,767.30","5,060.30","5,459.90","5,848.50","6,015.70","6,245.10","6,616.40","6,986.20","6,972.60","7,296.50","7,843.40","8,232.20","8,062.20","8,196.30","8,613.80","9,097.50","8,811.70","9,324.90","9,792.70","10,109.80","9,925.50","10,219.30","10,661","10,896.20","10,430.60","10,171.10","10,210.20","10,012","9,757.90","9,952","10,279.70","10,864.70","10,418.70","10,971.10","11,712.30","12,400.40","12,092.20","12,837.70","13,785.30","14,645","13,934.70","14,834.30","15,768.80","16,686.60","16,678","17,091","17,932.50","18,805.80","18,529.50","19,061.10","20,153","20,813.50","19,964.20","20,392.80","21,688.70","22,917.10","22,574.90","23,650.60","24,994.80","26,769.20","26,326.50","26,984.70","29,076.80","30,300.20","28,961","30,135.20","32,098.40","33,380.70","32,815.70","33,215.70","33,946.30","35,951.60","34,811.20","36,854.30","38,262.10","38,795.90","36,001.10","35,849.60","35,866.20","35,723.40","33,922.30","36,198.40","37,460.50","38,668.70","38,179.90","39,924.50","42,863.40","44,249.90","41,206.60","39,935.70","39,229.40","39,602.40","40,269.80","41,052.30","41,191.10","42,116.70","41,823.50","39,845.90","42,305.10","45,021.30","46,244.90","46,348.70","48,859.60","51,548.30","50,312.40","51,013.60","53,566.30","57,181.70","55,475","56,931.40","59,358.10","63,070.50","63,175.90","66,580.60","69,656.20","71,837.10","68,248.90","67,898","69,547.80","66,285.70","64,212.60","67,670.20","71,976.90","75,998.30","76,758.80","80,174.80","80,680.30","84,747.20","85,559","85,601","86,977.40","88,973.80","89,896.80","91,176.10","88,888.80","93,293.20","93,019.20","94,576.80","94,929.90","98,437.80","96,742.90","97,387","98,204.50","102,417.30","102,702.70","103,098.50","104,513","107,759.40","103,833.80","104,840.20","106,243.50","113,021.30","109,677.40","108,791.80","111,198.30","117,616","114,689.60"
     Goods Producing Industries ,"1,014.10","1,090.80","1,205.60","1,269.40","1,166.40","1,247.50","1,341.60","1,348.10","1,282.60","1,366","1,433.10","1,435.50","1,380.90","1,466.60","1,558","1,658.20","1,559.40","1,778.40","1,919.50","2,063.90","2,148","2,344.10","2,411.40","2,508.80","2,422.80","2,649","2,842.10","2,978.40","2,818.20","2,884.30","3,043.10","3,035.70","3,014.30","3,394.70","3,541.10","3,598.60","3,523.60","3,813.30","3,875.10","3,899.90","3,550.20","3,431.50","3,390.30","3,142.70","3,138.70","3,513.80","3,574.60","3,604.70","3,330.60","3,714.40","3,977.80","4,074.50","3,997.40","4,509.20","4,874.70","4,769.10","4,480.90","4,926.90","5,208","5,275.80","4,905.40","5,381.20","5,785.80","5,901.20","6,130.60","6,289.30","6,686.10","6,698.60","6,286.10","6,648.90","7,103.10","7,542.90","7,258.70","7,758.20","8,244.90","8,381.60","8,103.10","8,773.70","9,215.60","9,365.30","8,695.70","9,655","10,303.70","10,742.10","10,433.80","10,650.60","10,648.60","11,339.80","10,352.20","11,254.40","12,238.60","12,528.10","11,571.30","11,511.70","11,606.70","11,441.40","10,784.20","11,137.60","11,578.60","11,746.60","11,831.10","12,643.40","14,301.40","15,013.80","12,797.80","12,157.40","11,845.30","11,884.40","12,002.60","12,849.20","12,878.70","12,806.10","12,390.50","11,998.30","12,750.70","13,739.30","13,941.60","14,809.90","15,783.40","16,567.20","15,219.20","15,744.30","16,803.20","17,907.40","16,649.30","17,829.30","18,390.90","18,590","17,888.30","18,500.40","19,502","19,279.80","17,475.60","17,608.10","18,500.20","16,964.70","15,418.10","17,819.20","20,273.20","20,709.10","20,077.80","21,543.70","21,117.40","21,491.40","21,365","21,301.70","21,589","21,729.20","22,213.70","22,968.40","22,119.70","22,322.50","20,808.10","21,870.20","22,624","23,031.30","22,884.90","23,672.80","24,325.60","24,084.80","24,521.70","25,614.50","25,655.80","25,715.80","24,011.10","25,514.80","25,506.70","26,620.50","25,791.40","25,499.50","25,916.50","26,736.80","26,945.40"
         Manufacturing ,654.8,692.8,785,809.9,744.6,793.5,877.8,896.8,843.4,913.7,968.1,969.3,958.4,"1,026.50","1,112.90","1,180.20","1,103.20","1,297","1,419","1,517.80","1,589.30","1,706.70","1,757.70","1,806.90","1,757.50","1,934.70","2,065.30","2,058.60","1,900.30","1,877.60","1,938.30","1,856.50","1,844.80","2,052.40","2,148.90","2,119.10","2,037.80","2,271.90","2,290.10","2,326","2,068.30","2,107.90","2,065.10","1,971.10","1,971","2,276.60","2,451.20","2,541.30","2,306.80","2,655.30","2,932.70","3,069.40","2,980.70","3,454.50","3,795.40","3,690.20","3,410.30","3,889.80","4,099.40","4,096.70","3,796.60","4,221.60","4,576.50","4,606.80","4,826.60","4,955.40","5,169.70","5,038.50","4,647.30","4,990.40","5,354.50","5,686.50","5,508","5,911.90","6,246.80","6,303.10","5,962","6,690.90","6,922.10","7,038.30","6,558.10","7,376.30","7,845.40","8,089.90","7,798","7,831.60","7,647","8,197.50","7,373.60","8,055.80","8,629","8,869","8,121.70","8,054.80","8,213.50","8,134.10","7,572.20","8,234.70","8,647.40","8,935.70","9,192.90","10,066.70","11,426.90","12,040.20","9,919.40","9,330.70","8,968.80","9,168.60","9,381.80","10,458.10","10,377.50","10,330.30","10,092.30","9,744.60","10,367","11,300.30","11,553.70","12,562.90","13,440.60","14,174.80","12,826.80","13,531.80","14,462","15,457.70","14,101.80","15,426.30","15,736.90","15,813","14,868.40","15,761.70","16,438.90","15,891","14,012.60","13,793","14,330.20","12,296.70","10,912.30","13,166.40","15,485.50","15,474.40","15,376.20","16,748.50","16,337.40","16,577.70","16,636.50","16,391.80","16,449.50","16,423.30","16,962.80","17,534.50","16,524.30","16,658.80","15,454","16,316.30","16,865.50","17,114","16,884.30","17,609.60","18,000.80","17,625.80","18,197.10","19,059.10","18,977.10","18,918.40","17,459.10","18,823.50","19,005.80","20,375.70","19,787.10","19,607.10","20,066.90","20,917","21,203.70"
         Construction ,228.5,256.3,272.6,294.9,271.7,301.4,305.9,290.3,278.5,293.4,300.5,290,254.5,270.9,266.8,291.9,267.5,294.7,295.2,329.9,344.9,379,392.3,439.1,441.2,480.6,528.5,647.4,646.7,739.1,813.3,880.2,879.3,"1,032.20","1,076.80","1,166.60","1,168.80","1,219.90","1,247.10","1,247.90","1,159.30","1,005.60","1,000",877,855.8,872.1,722.4,685.2,695.5,742.3,728.6,669.8,672.3,691.3,701.6,693.1,703.5,694.3,752.3,810.4,747.8,761,792.4,920.8,951.6,939.9,"1,096.50","1,267.50","1,246.70","1,249.50","1,338.60","1,475.50","1,343.20","1,399.70","1,514.40","1,594","1,642.80","1,578.10","1,768.30","1,832.40","1,626.60","1,733.60","1,919.10","2,051.70","2,099.40","2,187.90","2,317.50","2,482.70","2,346.40","2,470.10","2,832.30","2,886.70","2,707.40","2,664.20","2,695.80","2,581.70","2,455.60","2,201.10","2,222.10","2,168.30","2,016.60","1,946.80","2,097.50","2,126.80","1,984.50","1,896.30","1,977.40","1,871","1,795","1,582.90","1,634.80","1,602.10","1,493.80","1,430.60","1,548.10","1,547.20","1,499.20","1,369.10","1,463.50","1,512.80","1,556.60","1,380.50","1,490.60","1,597.50","1,608.80","1,454.60","1,667.50","1,794.90","1,923.60","1,770","2,078.40","2,379.40","2,472.30","2,717.80","3,226","3,571.60","3,608.90","3,574.80","3,765.50","4,048.20","3,566","3,534.80","3,520","3,600.40","3,501.80","3,503.10","3,802.20","4,008.60","3,972.40","4,004.50","4,182.10","4,291.50","4,125.40","4,132.20","4,365.80","4,576.70","4,713.50","4,642.90","4,887.20","4,997.50","4,850.80","5,079.20","5,207.50","5,320.70","5,187.10","5,275.40","5,033.30","4,776.90","4,628.60","4,435.80","4,379","4,365.60","4,296.70"
         Utilities ,61.3,71.2,73.5,83.2,73.4,76.8,81,83.8,78.8,82.5,83.4,89.9,93.7,95.8,100.6,106.1,116.3,109.1,120.6,123.4,125.9,161.6,162.5,155.9,123.2,128.4,136.6,146.2,155.8,161.1,175.3,180.6,179.7,197.6,205.3,197.5,200.7,210.9,228.9,215.4,221.8,223.9,229.8,208.5,235.8,293.9,328.1,305.2,264.7,253.7,254,273.7,289.6,307.6,323.1,328.2,311,291.7,302.2,311.8,303.6,344.4,361.9,312.2,303.7,344,371.4,343.4,347.3,367.2,370.7,339.2,366.6,404.7,441,440.8,449.5,456.9,477.3,444.2,466.9,501.7,494.1,552.8,488.3,579.8,632.7,606.7,582.4,676.7,729.6,724.1,699.1,753.4,660,685.6,718.1,661.1,668.4,599.6,582.5,592.9,738.2,809.5,859.1,896.8,867.1,813,795.4,778.5,837.4,845.4,777.6,797.9,810.1,865.5,863,853.8,848.4,852.3,805.9,804.7,821.2,822,908.4,921.2,960.2,950.8,"1,064.90",940.7,956.8,980.1,959.4,"1,069.70",916.9,"1,069.20",866.1,"1,051.70",995.5,"1,155.70","1,109.70","1,229.30","1,230.50","1,281.40","1,195.10","1,377.20","1,309.60","1,266.30","1,247.70","1,399.10","1,384.30","1,341.80","1,196.30","1,391.20","1,358.70","1,308.10","1,254.60","1,386.30","1,399.80","1,427.70","1,439.30","1,442.90","1,438.80","1,446.90","1,331","1,382.20","1,437.70","1,437.30","1,345.90","1,427.10","1,440.50","1,425.20","1,414.90"
         Other Goods Industries ,69.5,70.5,74.5,81.4,76.7,75.8,76.9,77.2,81.9,76.4,81.1,86.3,74.3,73.4,77.7,80,72.4,77.6,84.7,92.8,87.9,96.8,98.9,106.9,100.9,105.3,111.7,126.2,115.4,106.5,116.2,118.4,110.5,112.5,110.1,115.4,116.3,110.6,109,110.6,100.8,94.1,95.4,86.1,76.1,71.2,72.9,73,63.6,63.1,62.5,61.6,54.8,55.8,54.6,57.6,56.1,51.1,54.1,56.9,57.4,54.2,55,61.4,48.7,50,48.5,49.2,44.8,41.8,39.3,41.7,40.9,41.9,42.7,43.7,48.8,47.8,47.9,50.4,44.1,43.4,45.1,47.7,48.1,51.3,51.4,52.9,49.8,51.8,47.7,48.3,43.1,39.3,37.4,40,38.3,40.7,40.7,43,39.1,37,38.8,37.3,34.8,33.6,32,31.8,30.4,29.7,29,28.3,26.8,25.2,25.5,26.3,25.7,24.1,30.9,27.3,29.9,27.3,29.4,30.2,30.3,27.2,26.3,31.3,31.4,28,27.9,29.3,31.3,27.6,27.1,27.2,30.8,26.3,26.7,30.8,25.9,31.1,29.5,31.9,31.6,29.6,27.7,31,30.8,30.3,29,30.4,32.4,30.5,34,32.5,32.5,34,37.8,33.8,34.5,33.3,32.4,29.8,33.9,33.7,29.9,30.6,29.8,29.5,30.1,29,30.1
     Services Producing Industries ,"1,991.60","2,019.60","2,105.10","2,206.60","2,154.10","2,156.30","2,282.40","2,407.30","2,343.90","2,355.40","2,484.60","2,651.10","2,627.30","2,644","2,851.90","3,036.20","2,901.80","2,981","3,213.90","3,442.70","3,507.70","3,560.10","3,837.50","4,104.80","4,118.10","4,241.40","4,562.30","4,809.50","4,805.90","4,883.30","5,126.80","5,582.30","5,239.20","5,391.50","5,698","5,911.20","5,731.50","5,758.80","6,089.30","6,294.40","6,188.20","6,060.90","6,048.20","6,126.80","5,895.30","5,808.70","5,978.70","6,475.80","6,255.80","6,452.40","6,781.80","7,362.20","7,034.60","7,370.70","7,829.30","8,660.90","7,977.50","8,742.10","9,286.60","9,898.90","10,179.40","10,325.90","10,808.40","11,531.20","11,013.10","11,365.70","11,879.60","12,486.80","11,886.20","12,003.50","12,730.90","13,563.90","13,144.80","13,758.30","14,450","16,044.10","15,414.20","15,505.50","16,647.30","17,955.30","16,791.40","17,349.10","18,481.80","19,393.10","18,935","19,132.40","19,751.10","21,211.20","20,921.10","21,516.40","22,118.50","22,713.60","21,006.30","20,824.30","20,823.50","21,152.70","20,025.10","21,422.40","21,947.50","23,155.70","22,314.60","22,906.90","24,210.70","24,999.80","24,348.90","23,763.40","23,592.30","24,000.50","24,619","24,485.10","24,924.70","25,728.80","25,683.70","23,943.30","25,865.80","27,515.60","28,239.60","27,966.40","29,298.90","30,936.70","30,977.40","31,459.30","32,989.40","35,159.80","34,572.80","34,943.50","36,929.30","40,046.30","40,132.90","42,392.90","43,784.30","46,306.10","44,845.60","44,128.50","44,634.20","43,425.30","43,402.50","43,914.80","45,355.60","48,672.20","50,055.40","51,189.80","51,980.30","55,457.90","56,199","55,728.10","56,880.20","58,555.50","59,335.40","58,966.20","57,858.30","61,326.50","62,918.70","62,769.70","62,812.90","65,649.10","64,764.40","63,913.10","64,162","68,333.30","68,231.20","66,967.80","68,353","71,581.20","69,228","68,528.70","69,801.80","75,542","72,851.70","72,283.90","74,291.30","79,316","76,980"
         Wholesale & Retail Trade ,672.7,704.8,715.9,724.7,677.4,710.9,759.2,783,746.6,777.4,826.5,870.4,824.3,831.9,917.5,946.1,883.3,918.9,"1,020.40","1,058.60",985,"1,015.40","1,088","1,144.70","1,042.70","1,046.70","1,095.90","1,157.50","1,130.90","1,115","1,180.70","1,252.30","1,149.30","1,140.40","1,243.10","1,335.60","1,197.70","1,164.30","1,261.80","1,358.80","1,196.60","1,154.30","1,141.70","1,184","1,088.30","1,125.10","1,170.50","1,271","1,119.60","1,300.70","1,350.50","1,463.80","1,309.30","1,545.80","1,605.20","1,705.60","1,306.70","1,750.60","1,828.90","1,862.80","2,122.70","2,119.70","2,106.10","2,313.20","2,362","2,404.50","2,491.10","2,541.90","2,323.20","2,381.30","2,488.60","2,702.20","2,810.90","2,888.70","3,058.20","3,311.50","3,194.30","3,307.50","3,489.40","3,748.80","3,587.50","3,726.20","3,961.20","4,130.70","4,120.80","4,098.30","4,230.30","4,545.50","4,305.10","4,405.10","4,494.50","4,335.90","4,131.10","4,006.60","3,947.20","4,099.10","4,070.90","4,567.10","4,675.80","5,098.30","4,692.70","5,043.40","5,430.20","5,508.50","5,073.30","5,040","4,944.20","5,122","5,054.10","5,484.20","5,777.80","5,874.10","5,543.90","5,464.70","5,694.80","6,130.50","6,167.80","6,672.10","7,200.10","7,681.70","7,675.80","8,346.20","9,100.50","9,604.70","9,274.80","10,066.50","11,040","11,784","11,219.20","12,357.40","12,797.70","13,041.40","11,242.50","11,574.70","11,852.60","10,695.70","10,994.60","12,433.10","13,108.60","13,896","13,650","14,536.20","14,660.40","15,602.60","15,953.10","16,992.70","17,068.20","17,438.20","16,510.10","17,217.10","16,249.50","16,966.50","16,865","17,068.50","17,041.80","17,338.50","15,762.90","16,082.50","15,560","16,211.40","14,952.80","15,802.40","16,344.90","17,154.40","14,356.10","16,192.60","17,498.60","20,031.60","16,563.10","17,721.40","18,880.70","20,625.90","17,091.30"
         Transportation & Storage ,291.2,303.2,331.6,335.6,364,357.9,390.3,404.6,412.4,409.3,464.7,491.6,514.8,514.6,568.9,589.4,575.7,582.6,618.1,643.5,714.4,695.2,770.6,777.9,784.1,824.3,875.1,898.5,889.4,902.3,934.2,936.1,975.7,"1,056","1,090.30","1,059.30","1,074.10","1,150.20","1,114.70","1,118.50","1,129.80","1,162.90","1,186.60","1,161.50","1,091.60","1,178","1,201.90","1,214.30","1,204.10","1,237.80","1,332.20","1,405","1,406","1,452.90","1,599.50","1,621","1,613.40","1,671","1,809.30","1,869.90","1,843.80","1,864.40","1,919.30","1,989.70","1,949.20","2,164.20","2,289.20","2,340.20","2,158.20","2,090.70","2,253.80","2,245.80","2,260.80","2,352.30","2,524.10","2,607.40","2,575.60","2,579.80","2,825","2,963.60","2,832","2,935.80","3,078.90","3,131.50","2,984.30","3,070","3,103.50","3,309","3,107.80","3,269.50","3,268","3,529","3,113.90","3,212.80","3,246.30","3,303.10","3,248.60","3,411.20","3,590.10","3,747.50","3,643","3,728.50","4,014.60","4,058.70","3,554.70","3,440.50","3,473.70","3,645.30","3,520.80","3,517.70","3,431","3,557.10","3,974.60","3,273.80","4,087.80","4,616.60","4,598.60","4,634.40","4,793.20","5,115.10","5,069.40","5,037.60","5,139.50","5,489.60","5,184","4,887","5,126.40","5,683.40","5,847.60","5,988.50","6,284.10","6,687.10","6,636.70","6,366.60","6,049.40","6,280.80","5,483.40","5,075.70","5,051","5,919.80","6,271.90","6,340.70","6,375.60","6,434.60","5,634.40","5,489.20","5,364.30","5,735.90","5,714.20","5,950.60","5,821.40","6,188.10","5,744.40","6,157.50","6,124.40","6,678.30","6,337.10","6,535.20","6,758","7,553.10","7,538.10","7,460.70","7,386.50","7,654.90","6,988.30","6,878.10","6,566.80","7,266.10","7,268.60","7,619.80","7,466","7,920.90","7,527.80"
         Accommodation & Food Services ,112.4,110.7,116.6,123.4,125.1,120.7,127.5,135.4,136.9,137.2,144.4,154.3,160.5,158.3,169.6,179.7,183.8,187.7,198.2,220.5,232.6,237.7,254.8,273.8,277.8,282.5,302.9,318.7,330.2,327.3,339,351.6,347.7,343.9,347.1,360.7,349.1,348.3,348.9,364.2,346.9,344.1,340.1,357.6,332.5,329.7,345.5,359.5,341,351.1,376.2,402.8,401.3,410.3,436.8,471,474.4,491.6,547.5,587.4,578.4,574.9,591.5,628.2,562,601.5,627.7,657,654.5,642.1,657.6,679.4,682.2,684.9,707.5,751.7,741,714.5,753.5,785.8,775.6,779.1,827.6,861.9,856.3,838.9,844.9,906.2,918.7,915.5,932.6,955.7,893.8,856.8,843.5,890.8,864.9,895.8,883.4,947.8,932.8,927.7,947,994.6,976.7,963.8,951,942.7,920.2,914.8,909.4,947.9,916.7,711.3,874.5,973.2,963.3,947,957.5,994.3,956.9,990.7,999.3,"1,056.40","1,029.20","1,046.60","1,098.20","1,140.40","1,165.10","1,192.80","1,239.30","1,284","1,345.70","1,336.90","1,348.10","1,311.50","1,205","1,164.90","1,242.30","1,308.10","1,346.30","1,422.90","1,536.10","1,615.90","1,652.40","1,717.90","1,791.20","1,822.70","1,857.10","1,856.60","1,878.90","1,889.80","1,991.20","1,936.70","1,922","1,947.20","2,017.70","2,023","2,077.40","2,107","2,085.80","2,012.20","2,112.70","2,129.80","2,180.70","2,119.60","2,233.10","2,185.40","2,185.90","2,149","2,259.10","2,261.40","2,238.30"
